time,name,country,event,gender,year
09:36.5,Victoria Mitchell (Australia),Australia,3000m Steeplechase,female,2015
09:36.6,Lyudmila Lebedeva (Russia),Russia,3000m Steeplechase,female,2015
14:14.3,Almaz Ayana,Ethiopia,5000m,female,2015
14:15.4,Genzebe Dibaba (Ethiopia),Ethiopia,5000m,female,2015
14:31.9,Faith Kipyegon (Kenya),Kenya,5000m,female,2015
14:34.1,Mercy Cherono (Kenya),Kenya,5000m,female,2015
14:34.2,Viola Kibiwot (Kenya),Ethiopia,5000m,female,2015
14:36.4,Senbere Teferi (Ethiopia),Ethiopia,5000m,female,2015
14:40.5,Gelete Burka (Ethiopia),Ethiopia,5000m,female,2015
14:43.3,Alemitu Haroye (Ethiopia),Ethiopia,5000m,female,2015
14:46.7,Vivian Cheruiyot (Kenya),Kenya,5000m,female,2015
14:47.8,Sally Kipyego (Kenya),Kenya,5000m,female,2015
14:53.3,Irene Cheptai (Kenya),Kenya,5000m,female,2015
14:54.7,Mimi Belete (Bahrain),Bahrain,5000m,female,2015
14:55.5,Irene Jelagat (Kenya),Kenya,5000m,female,2015
14:57.2,*Molly Huddle (US),United States,5000m,female,2015
14:57.3,Goytatom Gebreselassie (Ethiopia),Ethiopia,5000m,female,2015
14:58.5,Magdalene Masai (Kenya),Kenya,5000m,female,2015
15:00.5,Betsy Saina (Kenya),Kenya,5000m,female,2015
15:02.7,Janet Kisa (Kenya),Kenya,5000m,female,2015
15:03.8,Abbey D’Agostino (US),United States,5000m,female,2015
15:05.2,Belaynesh Oljira (Ethiopia),Ethiopia,5000m,female,2015
15:05.6,Nicole Tully (US),United States,5000m,female,2015
15:06.4,Jessica O’Connell (Canada),Canada,5000m,female,2015
15:06.5,Marielle Hall (US),United States,5000m,female,2015
15:07.2,Emily Infeld (US),United States,5000m,female,2015
15:07.4,Susan Kuijken (Holland),Holland,5000m,female,2015
15:07.7,Maureen Koster (Holland),Holland,5000m,female,2015
15:08.3,Ayuko Suzuki (Japan),Japan,5000m,female,2015
15:08.4,Perine Nengampi (Kenya),Kenya,5000m,female,2015
15:09.6,Eloise Wellings (Australia),Australia,5000m,female,2015
15:10.0,Shalane Flanagan (US),United States,5000m,female,2015
15:11.2,Madeleine Heiner (Australia),Australia,5000m,female,2015
15:12.22i,Emily Sisson (US),United States,5000m,female,2015
15:13.2,Alemitu Hawi (Ethiopia),Ethiopia,5000m,female,2015
15:13.7,Selly Chepyego (Kenya),Kenya,5000m,female,2015
15:13.8,Steph Twell (Great Britain),Great Britain,5000m,female,2015
15:15.2,Karoline Bjerkeli Grøvdal (Norway),Norway,5000m,female,2015
15:15.4,Rosemary Wanjiru (Kenya),Kenya,5000m,female,2015
15:15.8,Azmera Gebru (Ethiopia),Ethiopia,5000m,female,2015
15:16.1,Jennifer Wenth (Austria),Austria,5000m,female,2015
15:16.4,Yuka Miyazaki (Japan),Japan,5000m,female,2015
30:49.7,Gelete Burka (Ethiopia),Ethiopia,10000m,female,2015
30:50.8,Alemitu Haroye (Ethiopia),Ethiopia,10000m,female,2015
30:53.7,Belaynesh Oljira (Ethiopia),Ethiopia,10000m,female,2015
30:55.6,Mamitu Daska (Ethiopia),Ethiopia,10000m,female,2015
30:58.0,Wude Ayalew (Ethiopia),Ethiopia,10000m,female,2015
31:06.5,Netsanet Gudeta (Ethiopia),Ethiopia,10000m,female,2015
31:08.8,Genet Ayalew (Ethiopia),Ethiopia,10000m,female,2015
31:09.0,Shalane Flanagan (US),United States,10000m,female,2015
